year,week,minutes_outside_nominal
2015,2,230.36666666666667
2015,3,330.7
2015,4,161.96666666666667
2015,5,116.31666666666666
2015,6,226.7
2015,7,264.06666666666666
2015,8,168.28333333333333
2015,9,181.98333333333332
2015,10,224.0
2015,11,212.01666666666668
2015,12,161.86666666666667
2015,14,164.2
2015,15,335.3333333333333
2015,16,177.91666666666666
2015,17,205.3
2015,18,290.51666666666665
2015,20,244.01666666666668
2015,21,265.65
2015,22,135.8
2015,23,233.68333333333334
2015,24,188.65
2015,25,189.51666666666668
2015,26,193.35
2015,27,210.61666666666667
2015,28,211.5
2015,29,82.68333333333334
2015,30,176.65
2015,31,101.95
2015,32,136.98333333333332
2015,33,250.16666666666666
2015,34,304.48333333333335
2015,35,302.21666666666664
2015,36,278.1
2015,37,258.53333333333336
2015,38,365.73333333333335
2015,39,186.68333333333334
2015,40,187.81666666666666
2015,41,125.31666666666666
2015,43,171.96666666666667
2015,44,221.78333333333333
2015,45,195.56666666666666
2015,46,178.8
2015,47,157.36666666666667
2015,48,276.98333333333335
2015,49,263.9
2015,50,203.63333333333333
2015,51,279.15
2015,52,247.0
2015,53,174.71666666666667
2016,1,239.11666666666667
2016,2,333.85
2016,3,337.15
2016,4,279.5833333333333
2016,5,308.06666666666666
2016,6,272.43333333333334
2016,7,349.25
2016,8,269.15
2016,9,325.4
2016,10,212.86666666666667
2016,11,358.26666666666665
2016,13,317.98333333333335
2016,14,294.1
2016,15,316.81666666666666
2016,16,413.28333333333336
2016,17,505.78333333333336
2016,18,417.56666666666666
2016,19,410.53333333333336
2016,20,424.05
2016,21,354.1666666666667
2016,22,352.03333333333336
2016,24,224.08333333333334
2016,25,311.56666666666666
2016,27,315.2
2016,28,214.4
2016,29,160.33333333333334
2016,30,309.03333333333336
2016,31,218.83333333333334
2016,32,395.8833333333333
2016,33,317.0833333333333
2016,34,272.3333333333333
2016,35,193.25
2016,36,308.01666666666665
2016,37,186.13333333333333
2016,38,249.46666666666667
2016,39,309.01666666666665
2016,40,218.6
2016,41,135.5
2016,42,143.7
2016,43,199.1
2016,44,115.71666666666667
2016,45,91.68333333333334
2016,46,152.08333333333334
2016,47,181.23333333333332
2016,48,128.41666666666666
2016,49,125.01666666666667
2016,50,180.68333333333334
2016,51,294.65
2016,52,202.86666666666667
2017,1,190.23333333333332
2017,2,192.73333333333332
2017,3,147.01666666666668
2017,4,124.7
2017,5,103.81666666666666
2017,6,124.11666666666666
2017,7,168.75
2017,8,178.53333333333333
2017,9,224.23333333333332
2017,10,301.98333333333335
2017,11,243.88333333333333
2017,13,417.45
2017,14,180.08333333333334
2017,15,138.71666666666667
2017,16,256.6666666666667
2017,17,192.45
2017,18,381.2
2017,19,271.1166666666667
2017,20,233.71666666666667
2017,21,255.68333333333334
2017,22,174.08333333333334
2017,23,243.16666666666666
2017,24,261.8
2017,25,272.78333333333336
2017,26,299.3833333333333
2017,27,201.01666666666668
2017,28,352.48333333333335
2017,29,189.3
2017,30,195.13333333333333
2017,33,324.73333333333335
2017,34,174.38333333333333
2017,35,186.93333333333334
2017,36,291.46666666666664
2017,37,273.78333333333336
2017,38,210.6
2017,45,173.13333333333333
2017,46,187.55
2017,47,285.75
2017,48,123.9
2017,49,98.61666666666666
2017,50,122.56666666666666
2017,51,124.28333333333333
2017,52,282.85
2018,1,159.86666666666667
2018,2,187.45
2018,3,129.55
2018,4,175.06666666666666
2018,5,162.38333333333333
2018,6,143.93333333333334
2018,7,146.18333333333334
2018,8,86.48333333333333
2018,9,127.7
2018,10,97.65
2018,11,226.26666666666668
2018,13,229.26666666666668
2018,14,179.55
2018,15,274.71666666666664
2018,16,252.05
2018,17,302.1166666666667
2018,18,195.68333333333334
2018,19,484.46666666666664
2018,20,250.61666666666667
2018,23,247.11666666666667
2018,24,189.76666666666668
2018,25,274.53333333333336
2018,26,256.0833333333333
2018,27,188.91666666666666
2018,28,227.23333333333332
