year,week,observed_rows,filled_rows,longest_synthetic_streak_seconds,status
2015,1,349200,255600,255600,skipped_quality
2015,2,604800,0,0,saved
2015,3,604800,0,0,saved
2015,4,604800,0,0,saved
2015,5,604786,14,14,saved
2015,6,604787,13,13,saved
2015,7,604800,0,0,saved
2015,8,604800,0,0,saved
2015,9,604800,0,0,saved
2015,10,604800,0,0,saved
2015,11,604800,0,0,saved
2015,12,604755,45,45,saved
2015,13,601200,3600,3600,skipped_quality
2015,14,604800,0,0,saved
2015,15,604800,0,0,saved
2015,16,604800,0,0,saved
2015,17,604800,0,0,saved
2015,18,604800,0,0,saved
2015,19,601539,3261,1995,skipped_quality
2015,20,602561,2239,24,saved
2015,21,604800,0,0,saved
2015,22,604800,0,0,saved
2015,23,604800,0,0,saved
2015,24,603644,1156,581,saved
2015,25,604210,590,572,saved
2015,26,604800,0,0,saved
2015,27,602843,1957,766,saved
2015,28,602884,1916,576,saved
2015,29,604800,0,0,saved
2015,30,604366,434,434,saved
2015,31,604800,0,0,saved
2015,32,602038,2762,575,saved
2015,33,604800,0,0,saved
2015,34,604800,0,0,saved
2015,35,604634,166,83,saved
2015,36,604800,0,0,saved
2015,37,604800,0,0,saved
2015,38,604800,0,0,saved
2015,39,604800,0,0,saved
2015,40,604687,113,83,saved
2015,41,604238,562,562,saved
2015,42,597939,6861,5807,skipped_quality
2015,43,604796,3604,3600,skipped_quality
2015,44,604800,0,0,saved
2015,45,604800,0,0,saved
2015,46,604800,0,0,saved
2015,47,604800,0,0,saved
2015,48,604800,0,0,saved
2015,49,604800,0,0,saved
2015,50,604800,0,0,saved
2015,51,601435,3365,556,saved
2015,52,604508,292,11,saved
2015,53,604740,60,10,saved
2016,1,604707,93,21,saved
2016,2,604118,682,97,saved
2016,3,604235,565,11,saved
2016,4,604148,652,11,saved
2016,5,604313,487,11,saved
2016,6,604394,406,11,saved
2016,7,604363,437,11,saved
2016,8,604276,524,23,saved
2016,9,604283,517,11,saved
2016,10,603977,823,11,saved
2016,11,604103,697,11,saved
2016,12,600622,4178,3600,skipped_quality
2016,13,604417,383,11,saved
2016,14,604702,98,83,saved
2016,15,604456,344,222,saved
2016,16,604777,23,12,saved
2016,17,604800,0,0,saved
2016,18,604800,0,0,saved
2016,19,604557,243,225,saved
2016,20,604574,226,11,saved
2016,21,604562,238,11,saved
2016,22,604336,464,103,saved
2016,23,530616,74184,73955,skipped_quality
2016,24,604208,592,225,saved
2016,25,604660,140,12,saved
2016,26,506934,97866,97229,skipped_quality
2016,27,604689,111,11,saved
2016,28,604477,323,240,saved
2016,29,604768,32,4,saved
2016,30,604678,122,14,saved
2016,31,604696,104,14,saved
2016,32,604641,159,11,saved
2016,33,604755,45,8,saved
2016,34,604629,171,12,saved
2016,35,604796,4,4,saved
2016,36,604775,25,11,saved
2016,37,604549,251,251,saved
2016,38,604795,5,4,saved
2016,39,604800,0,0,saved
2016,40,604796,4,4,saved
2016,41,604557,243,232,saved
2016,42,604800,0,0,saved
2016,43,604800,3600,3600,skipped_quality
2016,44,604790,10,3,saved
2016,45,604410,390,247,saved
2016,46,604432,368,14,saved
2016,47,604152,648,14,saved
2016,48,604263,537,14,saved
2016,49,603806,994,16,saved
2016,50,603822,978,240,saved
2016,51,604509,291,11,saved
2016,52,604204,596,11,saved
2017,1,604468,332,13,saved
2017,2,604691,109,13,saved
2017,3,604563,237,11,saved
2017,4,604568,232,12,saved
2017,5,604632,168,14,saved
2017,6,604412,388,11,saved
2017,7,604648,152,11,saved
2017,8,603509,1291,739,saved
2017,9,604605,195,11,saved
