week,variant,period_s,value
synthetic_fixed,4h,14400.0,408.7698879013069
synthetic_fixed,4h,7200.0,2692.854825348599
synthetic_fixed,4h,4800.0,3276.345048431831
synthetic_fixed,4h,3600.0,955.1055986681249
synthetic_fixed,4h,2880.0,101.53592682474887
synthetic_fixed,4h,2400.0,64.22492792596047
synthetic_fixed,4h,2057.1428571428573,1814.2349117060603
synthetic_fixed,4h,1800.0,3519.6172182311084
synthetic_fixed,4h,1600.0,1806.050054791795
synthetic_fixed,4h,1440.0,31.93386913851368
synthetic_fixed,4h,1309.090909090909,12.549274089097649
synthetic_fixed,4h,1200.0,7.793300171683561
synthetic_fixed,4h,1107.6923076923078,3.366690545445157
synthetic_fixed,4h,1028.5714285714287,0.9380821683551025
synthetic_fixed,4h,960.0,2.413600099197533
synthetic_fixed,4h,900.0,4.065408472953725
synthetic_fixed,4h,847.0588235294117,5.700637555132967
synthetic_fixed,4h,800.0,7.734916509420294
synthetic_fixed,4h,757.8947368421052,9.755585580729614
synthetic_fixed,4h,720.0,13.679603342031054
synthetic_fixed,4h,685.7142857142857,17.5918022399882
synthetic_fixed,4h,654.5454545454545,35.79793110566276
synthetic_fixed,4h,626.0869565217391,1811.8084021323639
synthetic_fixed,4h,600.0,3515.6363779770627
synthetic_fixed,4h,576.0,1811.0852338303691
synthetic_fixed,4h,553.8461538461539,35.58091585459721
synthetic_fixed,4h,533.3333333333334,17.447692491704192
synthetic_fixed,4h,514.2857142857143,13.74055221703114
synthetic_fixed,4h,496.55172413793105,10.037750029682124
synthetic_fixed,4h,480.0,8.408355726123968
synthetic_fixed,4h,464.51612903225805,6.782734276718718
synthetic_fixed,4h,450.0,5.855874760788187
synthetic_fixed,4h,436.3636363636364,4.9320339094136765
synthetic_fixed,4h,423.52941176470586,4.32978480662567
synthetic_fixed,4h,411.42857142857144,3.729911918883816
synthetic_fixed,4h,400.0,3.305355788895374
synthetic_fixed,4h,389.18918918918916,2.8826816661704027
synthetic_fixed,4h,378.9473684210526,2.5663819184652303
synthetic_fixed,4h,369.2307692307692,2.2515885124331723
synthetic_fixed,4h,360.0,2.006268568842271
synthetic_fixed,4h,351.2195121951219,1.7621676470996954
synthetic_fixed,4h,342.85714285714283,1.5659286272107251
synthetic_fixed,4h,334.8837209302325,1.3706865501416121
synthetic_fixed,4h,327.27272727272725,1.209768460806367
synthetic_fixed,4h,320.0,1.0496737039186508
synthetic_fixed,4h,313.04347826086956,0.9149669209356895
synthetic_fixed,4h,306.3829787234042,0.78094624266094
synthetic_fixed,4h,300.0,0.6661617638319008
synthetic_fixed,4h,293.8775510204082,0.5519537852053233
synthetic_fixed,4h,288.0,0.45259702880160974
synthetic_fixed,4h,282.3529411764706,0.3537283789610691
synthetic_fixed,4h,276.92307692307696,0.2664914373423642
synthetic_fixed,4h,271.6981132075472,0.17967067200854622
synthetic_fixed,4h,266.6666666666667,0.10205570760294047
synthetic_fixed,4h,261.8181818181818,0.02479789689069898
synthetic_fixed,4h,257.14285714285717,0.059953396980675415
synthetic_fixed,4h,252.6315789473684,0.12878584076271127
synthetic_fixed,4h,248.27586206896552,0.1918131402747562
synthetic_fixed,4h,244.06779661016947,0.2546220137534691
synthetic_fixed,4h,240.0,0.31280552196583966
synthetic_fixed,4h,236.0655737704918,0.3707968250738617
synthetic_fixed,4h,232.25806451612902,0.42513384520296493
synthetic_fixed,4h,228.57142857142856,0.4793009984252997
synthetic_fixed,4h,225.0,0.530631444551168
synthetic_fixed,4h,221.53846153846155,0.5818111502449872
synthetic_fixed,4h,218.1818181818182,0.6308593770433858
synthetic_fixed,4h,214.92537313432837,0.6797733187879733
synthetic_fixed,4h,211.76470588235293,0.7271804044393777
synthetic_fixed,4h,208.69565217391306,0.7744674212483608
synthetic_fixed,4h,205.71428571428572,0.8208170502480068
synthetic_fixed,4h,202.81690140845072,0.8670589430130178
synthetic_fixed,4h,200.0,0.9128991787667016
synthetic_fixed,4h,197.26027397260276,0.9586424168788921
synthetic_fixed,4h,194.59459459459458,1.0045050918187228
synthetic_fixed,4h,192.0,1.050280151647149
synthetic_fixed,4h,189.4736842105263,1.0966993195294585
synthetic_fixed,4h,187.01298701298703,1.1430390950642455
synthetic_fixed,4h,184.6153846153846,1.1905698873713004
synthetic_fixed,4h,182.27848101265823,1.2380285125028545
synthetic_fixed,4h,180.0,1.287267809201844
synthetic_fixed,4h,177.77777777777777,1.3364413006201636
