week,variant,period_s,value
synthetic_fixed,4h,14400.0,1279.8078304280154
synthetic_fixed,4h,7200.0,3064.8042963946114
synthetic_fixed,4h,4800.0,5848.547744184437
synthetic_fixed,4h,3600.0,1514.8057434698658
synthetic_fixed,4h,2880.0,897.9756829392533
synthetic_fixed,4h,2400.0,619.554357408451
synthetic_fixed,4h,2057.1428571428573,596.3177128449546
synthetic_fixed,4h,1800.0,7045.589282094138
synthetic_fixed,4h,1600.0,423.2229926480559
synthetic_fixed,4h,1440.0,295.45432644765015
synthetic_fixed,4h,1309.090909090909,276.5386248016055
synthetic_fixed,4h,1200.0,236.51522870822984
synthetic_fixed,4h,1107.6923076923078,214.9013248358638
synthetic_fixed,4h,1028.5714285714287,197.79759057921282
synthetic_fixed,4h,960.0,186.76567218513514
synthetic_fixed,4h,900.0,170.28735830469853
synthetic_fixed,4h,847.0588235294117,170.02670099934375
synthetic_fixed,4h,800.0,149.66754615261593
synthetic_fixed,4h,757.8947368421052,160.22608496167305
synthetic_fixed,4h,720.0,133.60244903138795
synthetic_fixed,4h,685.7142857142857,161.69417508708221
synthetic_fixed,4h,654.5454545454545,120.71340340378583
synthetic_fixed,4h,626.0869565217391,222.9439189400346
synthetic_fixed,4h,600.0,7033.456944389163
synthetic_fixed,4h,576.0,211.3230699960175
synthetic_fixed,4h,553.8461538461539,101.28188384373014
synthetic_fixed,4h,533.3333333333334,130.94103709424166
synthetic_fixed,4h,514.2857142857143,93.76631433601469
synthetic_fixed,4h,496.55172413793105,109.34465599182833
synthetic_fixed,4h,480.0,87.30157749941428
synthetic_fixed,4h,464.51612903225805,96.963996252046
synthetic_fixed,4h,450.0,81.67975072075264
synthetic_fixed,4h,436.3636363636364,88.12428583610773
synthetic_fixed,4h,423.52941176470586,76.74474342562763
synthetic_fixed,4h,411.42857142857144,81.18358161514892
synthetic_fixed,4h,400.0,72.37700931572842
synthetic_fixed,4h,389.18918918918916,75.45377107117754
synthetic_fixed,4h,378.9473684210526,68.48338962711458
synthetic_fixed,4h,369.2307692307692,70.57809808628193
synthetic_fixed,4h,360.0,64.99017861889463
synthetic_fixed,4h,351.2195121951219,66.34436863131847
synthetic_fixed,4h,342.85714285714283,61.83827494837865
synthetic_fixed,4h,334.8837209302325,62.61397043317781
synthetic_fixed,4h,327.27272727272725,58.97971968660558
synthetic_fixed,4h,320.0,59.29014602743242
synthetic_fixed,4h,313.04347826086956,56.375178011096004
synthetic_fixed,4h,306.3829787234042,56.30200250829328
synthetic_fixed,4h,300.0,53.99207665657179
synthetic_fixed,4h,293.8775510204082,53.59567157793045
synthetic_fixed,4h,288.0,51.80320563838778
synthetic_fixed,4h,282.3529411764706,51.129052127574184
synthetic_fixed,4h,276.92307692307696,49.785654255548145
synthetic_fixed,4h,271.6981132075472,48.86849449465687
synthetic_fixed,4h,266.6666666666667,47.91999146897421
synthetic_fixed,4h,261.8181818181818,47.00506084145896
synthetic_fixed,4h,257.14285714285717,46.18962742363262
synthetic_fixed,4h,252.6315789473684,45.61430538145422
synthetic_fixed,4h,248.27586206896552,44.580310954240886
synthetic_fixed,4h,244.06779661016947,44.313851776274106
synthetic_fixed,4h,240.0,43.079730365767716
synthetic_fixed,4h,236.0655737704918,43.09710174287986
synthetic_fixed,4h,232.25806451612902,41.67719349066879
synthetic_fixed,4h,228.57142857142856,41.95808208279133
synthetic_fixed,4h,225.0,40.36336920359403
synthetic_fixed,4h,221.53846153846155,40.89143683458513
synthetic_fixed,4h,218.1818181818182,39.130077027877995
synthetic_fixed,4h,214.92537313432837,39.892405075024904
synthetic_fixed,4h,211.76470588235293,37.97011467047635
synthetic_fixed,4h,208.69565217391306,38.956794102977234
synthetic_fixed,4h,205.71428571428572,36.87711574883276
synthetic_fixed,4h,202.81690140845072,38.08095392742904
synthetic_fixed,4h,200.0,35.845431688679746
synthetic_fixed,4h,197.26027397260276,37.261756889511545
synthetic_fixed,4h,194.59459459459458,34.870033134418755
synthetic_fixed,4h,192.0,36.49658525010401
synthetic_fixed,4h,189.4736842105263,33.94642720284956
synthetic_fixed,4h,187.01298701298703,35.7833292794539
synthetic_fixed,4h,184.6153846153846,33.070587682888615
synthetic_fixed,4h,182.27848101265823,35.12039864682864
synthetic_fixed,4h,180.0,32.23889587502938
synthetic_fixed,4h,177.77777777777777,34.50675069982122
synthetic_fixed,4h,175.60975609756096,31.448090221768027
synthetic_fixed,4h,173.49397590361446,33.94194064593119
synthetic_fixed,4h,171.42857142857142,30.695223240309637
synthetic_fixed,4h,169.41176470588235,33.42620094277807
synthetic_fixed,4h,167.44186046511626,29.97762454946933
synthetic_fixed,4h,165.51724137931035,32.960560831323214
synthetic_fixed,4h,163.63636363636363,29.29286900670477
synthetic_fixed,4h,161.79775280898878,32.54702271691158
synthetic_fixed,4h,160.0,28.638749148773282
synthetic_fixed,4h,158.24175824175825,32.188821473371306
synthetic_fixed,4h,156.52173913043478,28.013251271951525
synthetic_fixed,4h,154.83870967741936,31.890808358814898
synthetic_fixed,4h,153.1914893617021,27.414534602348116
synthetic_fixed,4h,151.57894736842104,31.660028082382205
synthetic_fixed,4h,150.0,26.84091310007897
synthetic_fixed,4h,148.4536082474227,31.50660540381673
synthetic_fixed,4h,146.9387755102041,26.29083951618042
synthetic_fixed,4h,145.45454545454547,31.445146486601683
synthetic_fixed,4h,144.0,25.762891383073004
synthetic_fixed,4h,142.5742574257426,31.497033200372446
synthetic_fixed,4h,141.1764705882353,25.25575867034919
synthetic_fixed,4h,139.80582524271844,31.694344676512102
synthetic_fixed,4h,138.46153846153848,24.768232878941323
synthetic_fixed,4h,137.14285714285714,32.08692383343056
synthetic_fixed,4h,135.8490566037736,24.2991973817561
synthetic_fixed,4h,134.57943925233644,32.75597470335744
synthetic_fixed,4h,133.33333333333334,23.847618847604775
synthetic_fixed,4h,132.11009174311926,33.842501399809635
synthetic_fixed,4h,130.9090909090909,23.412539609173646
synthetic_fixed,4h,129.72972972972974,35.61367455883884
synthetic_fixed,4h,128.57142857142858,22.993070855396414
synthetic_fixed,4h,127.43362831858407,38.64297889743997
synthetic_fixed,4h,126.3157894736842,22.588386547159875
synthetic_fixed,4h,125.21739130434784,44.422727417615576
synthetic_fixed,4h,124.13793103448276,22.19771796677225
synthetic_fixed,4h,123.07692307692307,58.42665093850449
synthetic_fixed,4h,122.03389830508473,21.820348826624983
synthetic_fixed,4h,121.00840336134455,129.9236114162739
synthetic_fixed,4h,120.0,7035.410708994099
synthetic_fixed,4h,119.00826446280992,128.4698594059176
synthetic_fixed,4h,118.0327868852459,21.10287991083769
synthetic_fixed,4h,117.07317073170732,56.25862405593185
synthetic_fixed,4h,116.12903225806451,20.76157225207958
synthetic_fixed,4h,115.19999999999999,41.540276217745735
synthetic_fixed,4h,114.28571428571428,20.431141457418445
synthetic_fixed,4h,113.38582677165356,35.04476265495999
synthetic_fixed,4h,112.5,20.111075420191842
synthetic_fixed,4h,111.62790697674419,31.297155898460304
synthetic_fixed,4h,110.76923076923077,19.800893707936357
synthetic_fixed,4h,109.92366412213741,28.803934298486546
synthetic_fixed,4h,109.0909090909091,19.50014514897854
synthetic_fixed,4h,108.27067669172932,26.990385751922332
synthetic_fixed,4h,107.46268656716418,19.208405636822736
synthetic_fixed,4h,106.66666666666667,25.588086567834562
synthetic_fixed,4h,105.88235294117646,18.925276129332282
synthetic_fixed,4h,105.10948905109488,24.454746709678652
synthetic_fixed,4h,104.34782608695653,18.650380822944488
synthetic_fixed,4h,103.59712230215828,23.507835801412057
synthetic_fixed,4h,102.85714285714286,18.38336548416767
synthetic_fixed,4h,102.12765957446808,22.696136165317835
synthetic_fixed,4h,101.40845070422536,18.12389592316335
synthetic_fixed,4h,100.69930069930071,21.98613696150982
synthetic_fixed,4h,100.0,17.871656594928908
synthetic_fixed,4h,99.3103448275862,21.354958484524722
synthetic_fixed,4h,98.63013698630138,17.626349316106403
synthetic_fixed,4h,97.95918367346938,20.786420669852177
