year,week,observed_rows,invalid_rows_replaced,filled_rows,longest_synthetic_streak_seconds,status
2015,1,345600,0,259200,255600,skipped_quality
2015,12,0,0,0,0,already_exists
2015,13,597600,0,7200,7200,skipped_quality
2015,18,0,0,0,0,already_exists
2015,19,597939,0,6861,3600,skipped_quality
2015,41,0,0,0,0,already_exists
2015,42,597939,0,6861,5807,skipped_quality
2015,43,601196,0,3604,3600,skipped_quality
2016,11,0,0,0,0,already_exists
2016,12,597025,0,7775,7200,skipped_quality
2016,22,0,0,0,0,already_exists
2016,23,527016,0,77784,73955,skipped_quality
2016,25,0,0,0,0,already_exists
2016,26,503334,0,101466,97229,skipped_quality
2016,42,0,0,0,0,already_exists
2016,43,601200,0,3600,3600,skipped_quality
2017,11,0,0,0,0,already_exists
2017,12,596618,0,8182,7200,skipped_quality
2017,30,0,0,0,0,already_exists
2017,31,147967,0,456833,94499,skipped_quality
2017,32,566546,0,38254,25283,skipped_quality
2017,39,0,0,0,0,already_exists
2017,40,293286,0,311514,311328,skipped_quality
2017,41,558699,0,46101,41681,skipped_quality
2017,42,0,0,0,0,already_exists
2017,43,600931,0,3869,3600,skipped_quality
2018,11,0,0,0,0,already_exists
2018,12,597004,0,7796,7200,skipped_quality
2018,20,0,0,0,0,already_exists
2018,21,414021,0,190779,190606,skipped_quality
2018,22,477868,0,126932,123052,skipped_quality
2018,42,0,0,0,0,already_exists
2018,43,600839,0,3961,3600,skipped_quality
2019,12,0,0,0,0,already_exists
2019,13,597411,0,7389,7200,skipped_quality
2019,17,0,0,0,0,already_exists
2019,18,466557,0,138243,137513,skipped_quality
2019,19,292910,0,311890,308125,skipped_quality
2019,42,0,0,0,0,already_exists
2019,43,600961,0,3839,3600,skipped_quality
2020,12,0,0,0,0,already_exists
2020,13,597027,0,7773,7200,skipped_quality
2020,31,0,0,0,0,already_exists
2020,32,193849,0,410951,410801,skipped_quality
2020,33,556601,0,48199,43579,skipped_quality
2020,35,0,0,0,0,already_exists
2020,36,530661,0,74139,47747,skipped_quality
2020,41,0,0,0,0,already_exists
2020,42,565153,0,39647,14600,skipped_quality
2020,43,600011,0,4789,3600,skipped_quality
2020,44,0,0,0,0,already_exists
2020,45,534147,0,70653,3600,skipped_quality
2021,1,0,0,0,0,already_exists
2021,2,596676,0,8124,3657,skipped_quality
2021,11,0,0,0,0,already_exists
2021,12,597402,0,7398,7200,skipped_quality
2021,42,0,0,0,0,already_exists
2021,43,601108,0,3692,3600,skipped_quality
2022,9,0,0,0,0,already_exists
2022,10,571106,0,33694,33138,skipped_quality
2022,11,527435,0,77365,26846,skipped_quality
2022,12,582892,0,21908,14560,skipped_quality
2022,42,0,0,0,0,already_exists
2022,43,601158,0,3642,3600,skipped_quality
2023,11,0,0,0,0,already_exists
2023,12,597581,0,7219,7200,skipped_quality
2023,27,0,0,0,0,already_exists
2023,28,590637,0,14163,14012,skipped_quality
2023,29,583894,0,20906,20805,skipped_quality
2023,30,532523,0,72277,28800,skipped_quality
2023,31,591737,0,13063,5745,skipped_quality
2023,42,0,0,0,0,already_exists
2023,43,601175,0,3625,3600,skipped_quality
2024,12,0,0,0,0,already_exists
2024,13,597550,0,7250,7200,skipped_quality
2024,33,0,0,0,0,already_exists
2024,34,604673,0,127,51,saved
2024,35,604749,0,51,11,saved
2024,36,604760,0,40,6,saved
2024,37,604355,0,445,426,saved
2024,38,604726,0,74,51,saved
2024,39,604767,0,33,12,saved
2024,40,604750,0,50,12,saved
2024,41,604258,0,542,423,saved
2024,42,604716,0,84,60,saved
2024,43,604796,0,3604,3600,skipped_quality
2024,44,604793,0,7,1,saved
2024,45,604765,0,35,11,saved
2024,46,604281,0,519,472,saved
2024,47,604732,0,68,53,saved
2024,48,604761,3599,3638,3600,skipped_quality
2024,49,604394,17900,18306,3605,skipped_quality
2024,50,604362,3592,4030,3600,skipped_quality
2024,51,604727,0,73,51,saved
2024,52,604759,0,41,11,saved
2025,1,604785,0,15,2,saved
2025,2,604773,0,27,11,saved
2025,3,604352,0,448,434,saved
2025,4,604711,0,89,53,saved
2025,5,604753,0,47,12,saved
2025,6,604770,0,30,11,saved
2025,7,604361,0,439,415,saved
2025,8,604163,0,637,557,saved
2025,9,604784,0,16,11,saved
2025,10,604781,0,19,7,saved
2025,11,604359,0,441,422,saved
2025,12,604709,0,91,57,saved
2025,13,600958,0,3842,3600,skipped_quality
2025,14,604789,0,11,1,saved
2025,15,604339,0,461,416,saved
2025,16,604670,0,130,55,saved
2025,17,604768,0,32,11,saved
2025,18,604795,0,5,2,saved
2025,19,604794,0,6,4,saved
2025,20,603952,0,848,419,saved
2025,21,573328,0,31472,7324,skipped_quality
2025,22,583649,0,21151,6507,skipped_quality
2025,23,603109,0,1691,1588,saved
2025,24,602507,0,2293,1686,saved
2025,25,604735,0,65,54,saved
2025,26,604002,0,798,607,saved
2025,27,602943,0,1857,949,saved
2025,28,602579,0,2221,1076,saved
2025,29,604406,0,394,297,saved
2025,30,604696,0,104,76,saved
2025,31,603611,0,1189,865,saved
2025,32,580967,0,23833,2401,skipped_quality
2025,33,598037,0,6763,2162,skipped_quality
2025,34,604742,0,58,54,saved
2025,35,603470,0,1330,675,saved
2025,36,603506,0,1294,622,saved
2025,37,599408,0,5392,3230,skipped_quality
2025,38,601323,0,3477,1054,saved
2025,39,604470,1,331,200,saved
2025,40,603358,0,1442,822,saved
2025,41,603611,1,1190,1181,saved
2025,42,603179,0,1621,763,saved
2025,43,602340,0,6060,3600,skipped_quality
2025,44,604726,0,74,54,saved
2025,45,604771,0,29,9,saved
2025,46,604348,0,452,413,saved
2025,47,604719,0,81,54,saved
2025,48,604782,0,18,13,saved
2025,49,604763,0,37,12,saved
2025,50,604372,0,428,426,saved
2025,51,604682,0,118,54,saved
2025,52,604790,0,10,6,saved
2026,1,255599,0,349201,349200,skipped_quality
